日期,料号,假点过滤率,总点过滤率,AI漏失总数,漏失率,总板数,AI跑板数,AVI缺陷总数,AVI真点总数,AI真点总数,平均报点,平均报点T,平均报点B,平均AI报点,平均AI报点T,平均AI报点B,OK板总数,AI_OK板总数,OK板比例,AI_OK板比例,膜面
20240801,p3880csd08173968d01,32.85,26.28,0,0.0,255,255.0,11876.0,3,8755.0,46.57,16.35,30.22,34.33,10.85,23.48,0,0,0.0,0.0,5
,总计,32.85,26.28,0,0.0,255,255.0,11876.0,3,8755.0,46.57,16.35,30.22,34.33,10.85,23.48,0,0,0.0,0.0,
