日期,料号,批量号,假点过滤率,总点过滤率,AI漏失总数,漏失率,总板数,AI跑板数,AVI缺陷总数,AVI真点总数,AI真点总数,平均报点,平均报点T,平均报点B,平均AI报点,平均AI报点T,平均AI报点B,OK板总数,AI_OK板总数,OK板比例,AI_OK板比例,膜面
20240808,pl0155069i00,240808_02_008,49.59,39.67,1883.0,0.0,11,11.0,1883.0,0,1136.0,171.18,155.55,15.64,103.27,87.73,15.55,0,0,0.0,0.0,3
20240808,pl0155069i00,240808_02_008,86.96,69.57,46.0,0.0,2,2.0,46.0,0,14.0,23.0,0.0,23.0,7.0,0.0,7.0,0,0,0.0,0.0,1
20240818,101462297,51019180616-kM0001_2,51.16,40.93,777.0,0.13,6,6.0,777.0,6,459.0,129.5,88.5,41.0,76.5,42.83,33.67,0,0,0.0,0.0,1
20240823,hk06nn1b13g8,240822_01_001,23.82,19.06,808.0,0.0,25,25.0,808.0,0,654.0,32.32,26.92,5.4,26.16,23.04,3.12,0,0,0.0,0.0,3
20240823,hP72209-1A04H-25,240823_01_064,50.6,40.48,42.0,0.0,1,1.0,42.0,1,25.0,42.0,23.0,19.0,25.0,9.0,16.0,0,0,0.0,0.0,6
20240827,pl0159711b04,240827_02_001,33.63,26.9,368.0,0.0,3,3.0,368.0,0,269.0,122.67,40.67,82.0,89.67,37.0,52.67,0,0,0.0,0.0,6
20240828,pl0117572g06,240828_02_015,29.48,23.59,407.0,0.0,3,3.0,407.0,0,311.0,135.67,103.67,32.0,103.67,80.67,23.0,0,0,0.0,0.0,6
20240903,0419345a0,240903_01_002,64.15,51.32,189.0,0.0,1,1.0,189.0,0,92.0,189.0,130.0,59.0,92.0,42.0,50.0,0,0,0.0,0.0,3
,总计,7,43.14,34.51,4520.0,0.02,52,52.0,4520.0,7,2960.0,86.92,67.33,19.6,56.92,42.35,14.58,0,0,0.0,0.0,
