日期,料号,批量号,假点过滤率,总点过滤率,AI漏失总数,漏失率,总板数,AI跑板数,AVI缺陷总数,AVI真点总数,AI真点总数,平均报点,平均报点T,平均报点B,平均AI报点,平均AI报点T,平均AI报点B,OK板总数,AI_OK板总数,OK板比例,AI_OK板比例,膜面
20240801,p3880csd08173968d01,240730_01_058,38.01,30.41,0,69.59,70,70.0,3233.0,0,2250.0,46.19,17.34,28.84,32.14,10.5,21.64,0,0,0.0,0.0,5
20240801,p3880csd08173968d01,240730_01_059,29.69,23.75,0,76.25,70,70.0,3368.0,3,2568.0,48.11,17.23,30.89,36.69,12.46,24.23,0,0,0.0,0.0,5
20240801,p3880csd08173968d01,240730_01_060,32.41,25.93,0,74.07,70,70.0,3398.0,0,2517.0,48.54,17.26,31.29,35.96,11.41,24.54,0,0,0.0,0.0,5
20240801,p3880csd08173968d01,240730_01_061,30.43,24.35,0,75.65,45,45.0,1877.0,0,1420.0,41.71,12.04,29.67,31.56,8.02,23.53,0,0,0.0,0.0,5
,总计,3,32.85,26.28,0,73.89,255,255.0,11876.0,3,8755.0,46.57,16.35,30.22,34.33,10.85,23.48,0,0,0.0,0.0,
